Município;AIS;Natureza;Data;Hora;Dia da Semana;Tipo de Arma;Gênero;Idade da Vítima;Escolaridade da Vítima;Raça da Vítima
Canindé;AIS 15;HOMICIDIO DOLOSO;01/jan/21;00:30;Sexta;Arma de fogo;Masculino;Não Informada;Ensino Fundamental Incompleto;Não Informada
Mombaça;AIS 22;LESAO CORPORAL SEGUIDA DE MORTE;01/jan/21;00:30;Sexta;Outros meios;Feminino;15;Ensino Fundamental Incompleto;Parda
Iguatu;AIS 21;HOMICIDIO DOLOSO;01/jan/21;03:00;Sexta;Arma branca;Masculino;16;Alfabetizado;Não Informada
Fortaleza;AIS 09;ROUBO SEGUIDO DE MORTE (LATROCINIO);01/jan/21;04:30;Sexta;Arma de fogo;Masculino;20;Ensino Fundamental Completo;Não Informada
Sobral;AIS 14;HOMICIDIO DOLOSO;01/jan/21;05:00;Sexta;Arma de fogo;Masculino;26;Alfabetizado;Não Informada
Paraipaba;AIS 23;HOMICIDIO DOLOSO;01/jan/21;05:40;Sexta;Arma de fogo;Feminino;26;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;01/jan/21;06:50;Sexta;Arma de fogo;Masculino;30;Ensino Fundamental Completo;Não Informada
Itaitinga;AIS 25;HOMICIDIO DOLOSO;01/jan/21;11:25;Sexta;Arma de fogo;Masculino;50;Ensino Fundamental Incompleto;Não Informada
Pacatuba;AIS 24;HOMICIDIO DOLOSO;01/jan/21;13:50;Sexta;Arma de fogo;Masculino;32;Não Informada;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;01/jan/21;15:00;Sexta;Arma de fogo;Masculino;30;Ensino Fundamental Completo;Parda
Juazeiro do Norte;AIS 19;HOMICIDIO DOLOSO;01/jan/21;19:00;Sexta;Arma de fogo;Masculino;26;Ensino Médio Incompleto;Não Informada
Aracati;AIS 18;HOMICIDIO DOLOSO;01/jan/21;19:30;Sexta;Arma de fogo;Masculino;17;Ensino Fundamental Completo;Não Informada
Crato;AIS 19;HOMICIDIO DOLOSO;02/jan/21;01:00;Sábado;Arma de fogo;Masculino;22;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 05;HOMICIDIO DOLOSO;02/jan/21;05:30;Sábado;Outros meios;Masculino;72;Ensino Médio Completo;Não Informada
São Gonçalo do Amarante;AIS 23;HOMICIDIO DOLOSO;02/jan/21;05:40;Sábado;Arma branca;Masculino;29;Ensino Fundamental Completo;Branca
Missão Velha;AIS 19;HOMICIDIO DOLOSO;02/jan/21;07:30;Sábado;Arma de fogo;Masculino;31;Ensino Fundamental Incompleto;Não Informada
Pacatuba;AIS 24;HOMICIDIO DOLOSO;02/jan/21;09:27;Sábado;Arma de fogo;Masculino;19;Ensino Fundamental Completo;Não Informada
Santana do Acaraú;AIS 14;HOMICIDIO DOLOSO;02/jan/21;10:00;Sábado;Arma de fogo;Masculino;34;Alfabetizado;Não Informada
Eusébio;AIS 13;HOMICIDIO DOLOSO;02/jan/21;18:20;Sábado;Arma de fogo;Masculino;21;Ensino Fundamental Completo;Parda
Tianguá;AIS 14;FEMINICÍDIO;02/jan/21;18:30;Sábado;Arma branca;Feminino;47;Não Alfabetizado;Não Informada
Crato;AIS 19;HOMICIDIO DOLOSO;02/jan/21;18:40;Sábado;Arma de fogo;Masculino;34;Alfabetizado;Não Informada
Quixeré;AIS 18;HOMICIDIO DOLOSO;02/jan/21;18:40;Sábado;Arma de fogo;Masculino;21;Ensino Fundamental Completo;Não Informada
Itapajé;AIS 17;LESAO CORPORAL SEGUIDA DE MORTE;02/jan/21;19:00;Sábado;Arma branca;Masculino;41;Alfabetizado;Não Informada
Crato;AIS 19;HOMICIDIO DOLOSO;02/jan/21;20:30;Sábado;Arma de fogo;Masculino;27;Ensino Médio Incompleto;Parda
Juazeiro do Norte;AIS 19;HOMICIDIO DOLOSO;02/jan/21;22:30;Sábado;Arma de fogo;Masculino;16;Alfabetizado;Não Informada
Tejuçuoca;AIS 17;HOMICIDIO DOLOSO;02/jan/21;23:30;Sábado;Arma de fogo;Masculino;19;Ensino Médio Completo;Não Informada
Brejo Santo;AIS 19;HOMICIDIO DOLOSO;02/jan/21;23:40;Sábado;Arma de fogo;Masculino;42;Ensino Fundamental Incompleto;Não Informada
Tejuçuoca;AIS 17;HOMICIDIO DOLOSO;03/jan/21;09:00;Domingo;Outros meios;Masculino;Não Informada;Não Informada;Não Informada
Frecheirinha;AIS 14;HOMICIDIO DOLOSO;03/jan/21;11:30;Domingo;Arma de fogo;Masculino;18;Ensino Médio Incompleto;Parda
Fortaleza;AIS 07;HOMICIDIO DOLOSO;03/jan/21;11:35;Domingo;Arma de fogo;Masculino;50;Alfabetizado;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;03/jan/21;13:15;Domingo;Arma de fogo;Masculino;32;Ensino Médio Completo;Não Informada
Lavras da Mangabeira;AIS 21;HOMICIDIO DOLOSO;03/jan/21;15:00;Domingo;Arma branca;Masculino;18;Ensino Fundamental Incompleto;Não Informada
Várzea Alegre;AIS 21;FEMINICÍDIO;03/jan/21;17:30;Domingo;Arma branca;Feminino;31;Ensino Fundamental Incompleto;Não Informada
Pacajus;AIS 25;HOMICIDIO DOLOSO;03/jan/21;20:00;Domingo;Arma de fogo;Masculino;17;Alfabetizado;Não Informada
Fortaleza;AIS 08;HOMICIDIO DOLOSO;03/jan/21;20:30;Domingo;Arma de fogo;Masculino;18;Alfabetizado;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;03/jan/21;21:15;Domingo;Arma de fogo;Masculino;26;Alfabetizado;Parda
Nova Russas;AIS 16;HOMICIDIO DOLOSO;03/jan/21;21:30;Domingo;Arma de fogo;Feminino;18;Alfabetizado;Não Informada
Juazeiro do Norte;AIS 19;HOMICIDIO DOLOSO;03/jan/21;22:50;Domingo;Arma de fogo;Masculino;16;Ensino Fundamental Incompleto;Não Informada
Cascavel;AIS 13;HOMICIDIO DOLOSO;04/jan/21;01:00;Segunda;Arma de fogo;Masculino;36;Ensino Fundamental Incompleto;Não Informada
Camocim;AIS 14;HOMICIDIO DOLOSO;04/jan/21;01:30;Segunda;Outros meios;Masculino;13;Ensino Fundamental Incompleto;Parda
Jucás;AIS 21;HOMICIDIO DOLOSO;04/jan/21;02:15;Segunda;Arma de fogo;Masculino;28;Ensino Fundamental Incompleto;Não Informada
Pentecoste;AIS 17;HOMICIDIO DOLOSO;04/jan/21;09:00;Segunda;Arma de fogo;Masculino;45;Não Informada;Não Informada
Crato;AIS 19;HOMICIDIO DOLOSO;04/jan/21;15:40;Segunda;Arma branca;Masculino;31;Ensino Médio Completo;Parda
Fortaleza;AIS 06;HOMICIDIO DOLOSO;04/jan/21;17:23;Segunda;Arma de fogo;Masculino;31;Ensino Fundamental Incompleto;Parda
Assaré;AIS 19;HOMICIDIO DOLOSO;04/jan/21;18:30;Segunda;Arma de fogo;Masculino;23;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;04/jan/21;20:56;Segunda;Arma de fogo;Masculino;28;Ensino Médio Incompleto;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;04/jan/21;22:39;Segunda;Arma de fogo;Masculino;30;Superior Incompleto;Não Informada
Fortaleza;AIS 04;HOMICIDIO DOLOSO;04/jan/21;23:57;Segunda;Arma de fogo;Masculino;16;Não Informada;Não Informada
Fortaleza;AIS 05;HOMICIDIO DOLOSO;05/jan/21;01:35;Terça;Arma de fogo;Masculino;27;Ensino Médio Incompleto;Não Informada
Itaitinga;AIS 25;HOMICIDIO DOLOSO;05/jan/21;13:00;Terça;Arma de fogo;Masculino;48;Não Informada;Não Informada
São João do Jaguaribe;AIS 18;HOMICIDIO DOLOSO;05/jan/21;16:00;Terça;Arma de fogo;Masculino;60;Superior Completo;Não Informada
Sobral;AIS 14;HOMICIDIO DOLOSO;05/jan/21;17:30;Terça;Arma de fogo;Masculino;16;Não Informada;Parda
